Indonesia,Madura
bisakah anda membantu saya?,"bisaa dhika abhânto bulâ? "
dikatakan kepada orang yang sangat miskin,"abâ' kèsa cèṭak gherrâng "
diumpamakan sama seperti dirinya sendiri,"èsèkot ka abâ'na dhibi' "
"badan segar kekuatan kembali seperti semula, rasa sakit telah hilang.","abà' seggher kakowadhân abâli pole, rassa sakè' pas èlang"
kamu kapan akan ke rumahku,abâ'na bilâ sè èntarra ka tang roma
kamu belum makan?.,abâ'na ghi' ta' ngakan?
lamanya lima abad.,abiddhâ lèma abad
orang itu agak gila,orèng jârèya abâk ghilâ
saya mengembala sapi sampai siang hari.,sèngko' ngowan sapè sampè' bân-abân
"burung rajawali terbang diangkasa, terbangnya melayang datar perlahan-laha","mano' sèka' ngabbher è bâng-abâng, pangabângnga ngatang rè-lèrè"
"suruh tebang pohon singkong di utara, mengkudu buah pahit berwarna sangat putih, suruh lihat mumpung masih ada, karena besok saya hendak pulang.","soro rabâs parong pong ḍâjâ, billâ cè' potèna, soro abâs pong-pong ghi' bâḍâ, lagghu' sèngko' molèa "
kalau mengenakan pakaian berwarna merah kelihatan jelas dan tajam.,mon ngangghuy kalambhi abârna mèra èkatèla abbhrâ
anak-anak semuanya senang makan brem.,na'-kana' paḍâ senneng ngakan abbhreng
kakak suka terhadap burung yang berbulu merah.,kaka' lébur ḍâ mano' sè abulu abhâng
aduh! kok bisa begini.,abhu! ma' bâriyâ
mengangkat batu sangat berat.,ngangka' bâto cè' abhuddhâ
"saya sisakan, jangan dihabiska","sèngko' dhinaè, jhâ paabi'"
tidak lama lagi,ta' abit polè
jika meminjam jangan terlalu lama,mon ngènjhâm jhâ' bit-abit
dari lamanya yang menangis sampai-sampai matanya memerah,"ḍâri abiddhâ sè nangès, matana dhâghâ mèra"
"sir-sir tumpang tindih ringgit, wadah untuk masak hampir pecah, jika menaksir jangan terlalu lama, jika berilai mau dilamar.","sir-sir tompang ringgit, jhârângan para' bhâsaa, mon ngessir jhâ' bit-abit, mon ajhâng èpèntaa "
paras muka ibu sangat pucat.,robâna èbhu cè' acomma
tidak diketahui apa yang menjadi sebab permulaannya,ta' ètemmo ḍâ'-aḍâ'na
meskipun anak itu baik tapi tidak ada tegur sapanya,maskè kana' rowa beccè' tapè aḍâ' sapa ologghâ
rumah yang tidak ada penghuninya itu dimasuki pencuri,roma sè aḍâ' orèngnga rowa èlebbhui malèng
"lebih mahal cita dari pada kain, mari jahitkan ke dhurinan, tidak ada kamu ada orang lain, mari cari yang lebih kering.","larang jhita maḍḍhâ kain, maju' sèkot ka dhurinan, aḍâ' bâ'na bâḍâ orèng laèn, maju' nyarè sè ghâringan "
aduh! ayamnya kok dilepas?.,aḍḍa! ajâmma mè' épaburu?
tetangganya baru saja mendirikan rumah yang baru.,tatangghâna ghi' bhuru manaddhek roma anyar
orang Islam kalau sembahyang menghadap ke barat atau kiblat,orèng èslam mon abhâjâng ngaḍḍhep ka bârâ' otabâ kiblat
karena sangat rindu aku sangat ingin bertemu denganmu.,"sakèng kerrongnga, bulâ cè' addhrengnga sè terro tatemmowa so dhika"
mengapa orang yang telah mati masih diadzani?,arapa orèng sè ella matè ma' ghi' èadhânè?
kalau sudah mendengar adzan subuh segera bangun lalu bersembahyang.,mon ella ngèḍing adhân sobbhu dhuli abungo pas abhâjâng
kebiasaan adat kuno,kebiyasaan adhât kona
dikatakan kepada orang yang kurang ajar,"mara adhât keṭṭang "
oh kasih dirimu semakin cantik hatiku terpesona,aḍu lè' sajân raddhin atè bulâ terros kapèncot
oh mengapa aku tidak bisa memungkiri hati bahwa aku cinta padamu,ḍu anapè? bulâ ta' bisa mongkèrè atè jhâ' bulâ tarèsna ka dhika
aduh sangat dingi,aḍu cè' cellebbhâ
mengusap air mata,ngosap aèng mata
air jeruk pecel,aèng jherruk pecel
saya ragu-ragu untuk datang.,sèngko' ghâ'-agghâ'ân sè èntarra
anjing milik orang Cina itu sangat galak.,bhurussâ rèng cèna rowa cè' aghâllâ
aduh sangat sakit.,agghu cè' sakè'na
"kelak jika saya sudah dewasa, ingin menjadi orang kaya.","ghu'-agghu' mon sèngko' la dhibâsa, terro dhâddhiâ orèng soghi"
sangat ingin untuk segera sampai.,cè' agherrâ sè ḍâpa'a
coba jualkan barang saya.,jhâjhâl jhuwâlaghi tang bhârâng
yang tertawa terkekeh-kekeh.,sè aghlâ abhecikellan
hari Minggu paman akan pergi ke Sumenep.,arè ahad ghuttè èntarra ka songenep
yang paling akhir,sè palèng ahèr
jika berbuat jahat kepada orang nanti dibalas di akhirat.,mon jahat ka orèng ḍâgghi' èbâles neng ahèrat
lebih mahal ayam yang masih muda dari pada ayam yang sudah tua.,lebbi larang ajâm sè cor-lancor ètèmbhâng ajâm sè ella towa
sudah tiba saatnya anaknya untuk belajar bertata,ella bâjâna ana'na ajhâr atata
"siapa dari barat itu, menanam talas dipinggir pagar, tidak ingatkah masa yang lalu? dirimu kala malas, enggan belajar","sapa bârâ' ro, namen tales pèngghir paghâr, ta' ènga' lambâ' ro, abâ' males sengka ajhâr "
"ke jaddih lewat labang, membawa sangu uang satu ikat, belajar ngaji belajar sembahyang, agar punya sangu jika mati.","ka jhâḍḍhih lèbât labâng, asango pèssè satalè, ajhâr ngajhi ajhâr abhâjâng, ma' anḍi' sango san matè "
harga-harganya naik semua.,jhin-ajhina ongghâ kabbhi
orang baru datang berhaji.,orèng ḍâteng ḍâri ajjhiân
anaknya yang sudah lahir tujuh hari cepat diakikahka,ana'na sè rèmbi' ollè pèttong arè dhuli èkèkaè
"perahunya menyerang kapal malah tokek mati terkubur, sangat pintar yang menggunakan akal, malah suaminya dibuat tolol.","paraona nyerrang kapal, ma' tekkè' matè tabhenḍem, taona sè masang akkal, ma' lakèna sè èpagenḍeng "
menerima agama Islam,ngakoè aghâma èslam
orang jujur biasanya mesti mengaku jika mempunyai kesalaha,orèng jhujhur biyasana mostè ngako bilâ anḍi' sala
disuruh untuk pinjam cangkul.,"èpakon nyambhut lanḍu' "
belajarlah menolong orang lain juga teman-temanmu sendiri biar tampak rukun bertetangga hidup akan damai,"ajhâr atatolong mongghu ḍâ' ca-kancana, maakor atatangghâ oḍi' rokon"
bersaudara harus hidup ruku,paatong sè atarètan
kalau memang malas jangan mencari-cari alasan yang tidak masuk akal.,mon lakar males jhâ' rè-nyarè alasân sè ta' maso' akkal
para alim ulama.,para alèm olama'
mengikuti politik burung unta,"ngalèng ka to' oddhâ "
dikatakan kepada orang yang tidak kuat menyimpan rahasia.,"lèng-ngalèng bunto'na tèkos "
alisnya seperti semut berjalan beriring.,"alèssa aḍâun mèmbhâ "
ilmu usul fiqih.,èlmo ushul fikih
selesai berlari-lari sangat dahaga.,marè ka'-berka'an pas cè' alhangnga
minuman yang mengandung alkohol dilarang agama Islam.,ènoman sè bâḍâ alkoholla èlarang aghâma èslam
"orang mati jangan dipindah-pindah, kalau dipindah akan salah tempat pindahnya, orang laki dan perempuanjangan pilih-pilih kalau memilih banyak mendapat perkara kecil tapi bermasalah.","orèng matè jhâ' lè-allè mon èallè sala allèna, orèng lakè' binè' jhâ' lè-mèlè mon mèlè bânnya' sala tèpona "
