Indonesia,Madura
"amat, sangat",ce
"ke, kepada",dha
hal,hal
"dan, dengan",ban
ke,ka
hanya,gun
ada,badha
waktu,bakto
banding,bandhing
apa,apa
sudah,ampon
dengan,sareng
banyak,bannya'
orang,oreng
baik,sae
sekarang,samangken
kalau,manabi
antara,antara
atau,otaba
umpama,ompama
perintah,parenta
saja,bisaos
pekerjaan-pekerjaan,lalakon
pepatih,papate
tantangan,sosombar
kekasih.,kakase
sukar-sukar,rat-malarat
putra-putra,tra-potra
payah-payah,so-lesso
bis-bis,bis-ebbis
beberapa,pan-saponapan
laki-laki,ke'-lake
"sehari-harian, tiap hari, berhari-hari",re-saare
lain-lain,en-laen
membersih-bersihkan,sot-ngessot
orang-orang,reng-oreng
mudah-mudahan,moga-moga
mudah-mudahan,mandar-mandar
merasa,arassa
membongkar,abungkar
memajukan,mamaju
mengadakan,mabadha
dihabiskan,epatadha'
dijala,ejala
keadaan,kabadha'an
"apa yang diketahui, ketahuan",kaonengan
cara berpikir,pamekkerra
tali pengikat,pamekot
yang lalu,tapongkor
terjepit,takepe
jelimat,jalimet
gulita,calemot
pemerintah,pamarenta
doa restu,pamoji
"perasaan, hati kecil",karettek
pasti,penasthe
terkabulkan,tomekka
artinya,artena
hidupnya,odhi'na
"akan dapat, agar dapat",bisa'a
akan masak,massa'a
kejadian,kadaddiyan
perdagangan,pardagangan
akan menyapu,asapowana
akan menunggui,noguwana
dibandingkan,ebandhingngagi
menjalankan,ajalannagi
merempahi; membumbui,malappae
"dilihati, terlihat",etengale
"dapat, bisa",bisa
ada,badha
dada,dhadha
pendek,pandha
bagi,bagi
jaga,jaga
juta,juta
banding,bandhing
bongkar,bungkar
mempunyai,agadhuhui
jadi,kadi
jadi,daddi
pegang,teggu'
guna,guna
jalan,jalan
gelar,juluk
baca,baca
cukup,cokop
kafir,kafer
kafan,kafan
tamat,hatam
ikhtisar,ehtiyar
lelaki,lake
kerja,lako
jaman,jaman
membayar,majar
tahu,oneng
ng,ng
guna,guna
hangus,angos
menggosok,ngesot
banyak,bannya'
menyisip,nyesep
pulau,polo
apa,apa
dengan,sareng
asin,assen
waktu,bakto
tahun,taon
jala,jala
gila,gila
kembali,bali
darah,dara
hijau,biru
ya,iya
begini.,bariya
pintu,labang
pacul,landhu'
sibuk,repot
rokok,roko'
yatim,yatim
l,l
kait,polo'
surat,sorat
papan dinding,serap
juga,keya
sayur,sayor
akan dikembalikan,epabaliya
mati,mate
akan mati,mateya
jadi,dadi
kejadian,kadaddiyan
baik,sae
kebaikan,kasaeyan
alir,gili
akan dialiri,egiliyana
uang,pesse
akan diuangi,epesseyana
jadi,daddi
akan dijadikan,epadaddiyagi
